{0}bb,bsjxxsi.oruhre 转换
{0}bb,xbxsxsi.orugvu 转轨
{0}bb,rhnxsi.orubme 转变
{0}bp+rlkklddd.wueyuu 物語
{0}bp+jhdnddd.wuefje 物販
{0}bp+ifjchddd.wuezii 物資
{0}bp+kzyzddd.wueliu 物理
{0}bx+redcxs.gvudce 轨道
{0}bx+uzrdgw.uiooli 実装
{0}bx+mkdvw.uioxio 実習
{0}bx+wkmfw.uiojxi 実家
{0}bu+gtdkuos.pjedre 判断
{0}bf+tkkonv.qmobni 潜标
{0}bf+rhpd.uiilme 失恋
{0}bf+rjdzd.uiiwhe 失望
{0}bf+fdxks.uuirue 输入
{0}bf+jhfxd.uiibde 失敗
{0}bf+dt+erxbees.fuolielmo 芙莉莲
{0}bj+tcpec.oeaxlu 着想
{0}bj+rtidc.kjegoe 看过
{0}bj+fl+tedczc.kjeqiuldo 看起来
{0}bj+suzhzec.oealue 着陸
{0}bj+zflcdc.kjeqiu 看起
{0}bj+wkkcdc.kjewjo 看完
{0}bc+xkfjd.mcobke 毛病
{0}bm+gkwpcy.wworce 围绕
{0}bi+fuimd.woumfa 我们
{0}bk+bmunpj.qkobce 情报
{0}bk+nnj.qkiuvu 清水
{0}bk+ndwld.ugihoo 生活
{0}bk+mu.mmlpjbn.qkobcejuo 情报局
{0}bk+igrdmdbw.bdefhu 拜访
{0}bk+ikldcpj.qkokle 情况
{0}bk+lmuse.iaebpo 差別
{0}bk+sufktnj.qkiiuo 清除
{0}bk+zwmunpj.qkobce 情報
{0}bk+wm+vkyzpjzun.qkobcelle 情報量
{0}bk+emupj.qkojpo 情节
{0}bk+dbpddd.ugiwue 生物
{0}bs+bdtyfi.iroboi 传播
{0}bs+tebmu.naeyhe 那样
{0}bs+rpkkmu.naexpi 那些
{0}bs+rexfi.irosse 传送
{0}bs+fumu.naegee 那个
{0}bs+ighlcfi.irouoi 传说
{0}bs+wkmfmu.naejxi 那家
{0}bs+dimu.naemea 那么
{0}bz,nddgdti.teepde 特派
{0}bz,tfxzdti.teeqro 特権
{0}bz,rlodti.teedmu 特点
{0}bz,rldsndti.teeuee 特設
{0}bz,fkssdti.teelie 特例
{0}bz,mu.ru+kcydtilsfk.teebpoqiuhxe 特別企画
{0}bz,lmusdti.teebpo 特別
{0}bz,sddnmdti.teewue 特務
{0}bz,wkrfdti.teedke 特定
{0}bz,dtydti.teefji 特番
{0}bz,dfczxdti.teeogi 特徴
{0}bz,dd,ljfdting.teepdeyro 特派员
{0}bw+pdvwl.hdepae 害怕
{0}bvp+p 掲
{0}bd+nknu.oeejli 浙江
{0}bd+recon.pjenie 叛逆
{0}bd+okyzlx.iiiyji 喫煙
{0}bd+ka+odjcnun.oeejliugu 浙江省
{0}bd+ka+la+iuiununi.oeejlitdoozi 浙江台州
{0}ba+nzij.ysefau 用法
{0}ba+tgii.uzujii 手機
{0}ba+twf.nmomoe 年末
{0}ba+tds.uzujii 手机
{0}ba+gilf.nmouiu 年始
{0}ba+gsdmd.nqondu 牛奶
{0}ba+uuuh.uzuuye 手順
{0}ba+umvf.nmojmi 年间
{0}ba+hwkfo.bjedke 半錠
{0}ba+fipf.nmodde 年代
